,ds,y
0,2015-01-01,9525.617253
1,2015-02-01,8748.104818
2,2015-03-01,9584.801734
3,2015-04-01,9309.360456
4,2015-05-01,9689.558599
5,2015-06-01,8999.235681
6,2015-07-01,9034.132591
7,2015-08-01,8985.919276
8,2015-09-01,8973.30962
9,2015-10-01,9093.23709
10,2015-11-01,8911.938069
11,2015-12-01,9411.155812
12,2016-01-01,9816.351446
13,2016-02-01,9305.557943
14,2016-03-01,10003.940579
15,2016-04-01,9891.388164
16,2016-05-01,9977.951542
17,2016-06-01,9429.69045
18,2016-07-01,9329.663649
19,2016-08-01,9247.492868
20,2016-09-01,9323.095195
21,2016-10-01,9513.569994
22,2016-11-01,9512.488943
23,2016-12-01,10038.037118
24,2017-01-01,10165.352872
25,2017-02-01,9714.265495
26,2017-03-01,11161.599545
27,2017-04-01,10720.585053
28,2017-05-01,11136.747517
29,2017-06-01,11039.56951
30,2017-07-01,10813.386737
31,2017-08-01,11085.263373
32,2017-09-01,11285.635234
33,2017-10-01,11846.686615
34,2017-11-01,12113.23225
35,2017-12-01,12376.071709
36,2018-01-01,12796.630476
37,2018-02-01,12216.171583
38,2018-03-01,13906.374756
39,2018-04-01,13190.925559
40,2018-05-01,14192.608398
41,2018-06-01,13612.466502
42,2018-07-01,13378.2318
43,2018-08-01,13944.259149
44,2018-09-01,13936.37333
45,2018-10-01,14471.380365
