,﻿TDID,FavGenre,G1,G2,G3,G4,G5,Browser_Alt Browser,Browser_Chrome,Browser_IE,Browser_Safari,Browser_Unidentified,genre,prediction
0,005fd2bc-4367-467d-b9b5-29fe0af5813d,?????,0.211638202748,0.145958802479,0.206827461135,0.0533007477234,0.0138537332829,0.0,1.0,0.0,0.0,0.0,,3.0
2,033e7d0d-d5d5-411e-9952-b40472183545,?????,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.0
3,034ab737-4285-4b54-a398-e421d872c7c0,?????,0.0,0.6,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0
4,035b9dc4-f6b2-42d8-aff7-eff5c7166b51,?????,0.27914517501,0.235452949099,0.316488997984,0.126193763699,0.0384087693797,0.0,1.0,0.0,0.0,0.0,,3.0
5,038b27ca-2849-4dc9-8cbe-a2dfa7456788,?????,0.35906362545,0.0788115246098,0.29549819928,0.177430972389,0.0891956782713,0.0,0.0,1.0,0.0,0.0,,1.0
7,051af46b-e656-4db1-901a-5678d6e77e57,?????,0.314448073644,0.20354501177,0.23211008288,0.105455083081,0.038058769902,0.0,1.0,0.0,0.0,0.0,,1.0
11,05a5a3a3-fa8e-44b9-a149-99f022340882,?????,0.467044522065,0.0960705453353,0.24056091371,0.135288330927,0.0610356879627,1.0,0.0,0.0,0.0,0.0,,1.0
15,06a15e8c-7404-4e29-af22-e16ed9a8c728,?????,0.193933852538,0.154164378621,0.313663793266,0.10407319225,0.0172480029705,0.0,0.0,1.0,0.0,0.0,,3.0
17,07eb1544-7954-447c-bfd4-7d8cd5596040,?????,0.242251529524,0.209164823979,0.26343110397,0.114918342382,0.0502342001453,0.0,0.0,0.0,1.0,0.0,,2.0
18,08077055-7586-4dd3-990c-bcb036c86989,?????,0.364275360256,0.173834505468,0.251668731997,0.112510632848,0.0421552138743,0.0,1.0,0.0,0.0,0.0,,1.0
21,0b1c5b86-66fa-4ff8-b3df-42e811546020,?????,0.143719806763,0.382125603865,0.102173913043,0.0386473429952,0.0,0.0,1.0,0.0,0.0,0.0,,2.0
22,0b5056f9-f14d-4414-a5e7-1063f99c63a9,?????,0.283194444444,0.170694444444,0.296666666667,0.213125,0.0363194444444,0.0,0.0,1.0,0.0,0.0,,3.0
24,0c349376-046d-4e61-a0d4-9de32fef8726,?????,0.0693333333333,0.0293333333333,0.064,0.028,0.00933333333333,0.0,1.0,0.0,0.0,0.0,,4.0
25,0c7c1ce0-d9b3-4cbc-aa49-9637d5e6e6c4,?????,0.330892964496,0.170628994258,0.287376030488,0.126147248499,0.0454810780483,0.0,0.0,1.0,0.0,0.0,,1.0
