site,G1Known,G2Known,G3Known,G4Known,G5Known
${referrer_url_enc},0.0,1.0,0.0,0.0,0.0
003.microsoftadvertisingexchange.fr,0.0,0.0,1.0,0.0,0.0
007.microsoftadvertisingexchange.com,0.0,0.0,1.0,0.0,0.0
0101.tw,0.0,0.0,1.0,0.0,0.0
02-edito-atf-theplacetobid-3.fr,0.0,0.0,1.0,0.0,0.0
04-ros-btf-theplacetobid-2.fr,0.0,0.0,1.0,0.0,0.0
10008-240737.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
10012-242801.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
1001fonts.com,0.0,0.0,0.0,0.0,1.0
100percentfedup.com,1.0,0.0,0.0,0.0,0.0
123greetings.com,0.0,0.0,0.0,1.0,0.0
12newsnow.com,1.0,0.0,0.0,0.0,0.0
12tomatoes.com,0.0,1.0,0.0,0.0,0.0
138898.casale.site-not-provided,0.352941176471,0.294117647059,0.294117647059,0.0588235294118,0.0
14139,1.0,0.0,0.0,0.0,0.0
141860.casale.site-not-provided,0.0,0.0,0.0,1.0,0.0
142201.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
142220.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
142221.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
14309,0.0,0.0,1.0,0.0,0.0
14363.google.site-not-provided,0.0,0.0,1.0,0.0,0.0
144967.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
145474.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
150759.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
151976.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
152753.casale.site-not-provided,1.0,0.0,0.0,0.0,0.0
153099.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
156467.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
156485.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
156502.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
156544.casale.site-not-provided,0.833333333333,0.0,0.166666666667,0.0,0.0
156762.casale.site-not-provided,0.333333333333,0.333333333333,0.333333333333,0.0,0.0
156952.casale.site-not-provided,1.0,0.0,0.0,0.0,0.0
157344.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
15740,1.0,0.0,0.0,0.0,0.0
157432.casale.site-not-provided,0.636363636364,0.0,0.181818181818,0.0909090909091,0.0909090909091
157693.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
158179.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
158205.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
158218.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
158219.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
158432.casale.site-not-provided,0.0,0.0,0.0,1.0,0.0
158714.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
158809.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
158920.casale.site-not-provided,0.428571428571,0.142857142857,0.142857142857,0.0,0.285714285714
159002.casale.site-not-provided,0.0,0.142857142857,0.714285714286,0.142857142857,0.0
159124.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
159531.casale.site-not-provided,0.0,0.0,0.0,1.0,0.0
159558.casale.site-not-provided,0.2,0.6,0.2,0.0,0.0
159563.casale.site-not-provided,1.0,0.0,0.0,0.0,0.0
159882.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
160241.casale.site-not-provided,0.0,0.0,0.0,1.0,0.0
160994.casale.site-not-provided,1.0,0.0,0.0,0.0,0.0
161107.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
161126.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
161188.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
161556.casale.site-not-provided,0.5,0.0,0.5,0.0,0.0
161602.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
161611.casale.site-not-provided,1.0,0.0,0.0,0.0,0.0
161612.casale.site-not-provided,1.0,0.0,0.0,0.0,0.0
161616.casale.site-not-provided,1.0,0.0,0.0,0.0,0.0
161624.casale.site-not-provided,1.0,0.0,0.0,0.0,0.0
162228.casale.site-not-provided,1.0,0.0,0.0,0.0,0.0
162488.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
162667.casale.site-not-provided,0.0,0.0,0.0,1.0,0.0
162691.casale.site-not-provided,1.0,0.0,0.0,0.0,0.0
162973.casale.site-not-provided,0.0,0.0,1.0,0.0,0.0
163643.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
164169.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
164179.casale.site-not-provided,0.666666666667,0.0,0.333333333333,0.0,0.0
164351.casale.site-not-provided,0.0,0.0,0.0,0.0,1.0
164353.casale.site-not-provided,0.0,0.5,0.0,0.0,0.5
164354.casale.site-not-provided,0.0,0.0,0.0,0.0,1.0
164424.casale.site-not-provided,0.0,0.0,0.0,1.0,0.0
164428.casale.site-not-provided,0.0,0.0,0.0,1.0,0.0
164614.casale.site-not-provided,0.0,1.0,0.0,0.0,0.0
17146,0.0,0.0,1.0,0.0,0.0
1styearmom.com,0.0,1.0,0.0,0.0,0.0
247sports.com,0.75,0.25,0.0,0.0,0.0
247wallst.com,0.0,1.0,0.0,0.0,0.0
24hourcampfire.com,1.0,0.0,0.0,0.0,0.0
275b199c26079dd4.google.site-not-provided,0.0,0.0,0.0,0.0,1.0
2ch-c.net,1.0,0.0,0.0,0.0,0.0
2conv.com,0.0,0.0,1.0,0.0,0.0
2coolfishing.com,0.0,0.0,1.0,0.0,0.0
30daycafe.com,0.0,1.0,0.0,0.0,0.0
3851558.brightroll.site-not-provided,0.0,0.0,1.0,0.0,0.0
39354,1.0,0.0,0.0,0.0,0.0
3stoogiez.com,0.0,0.0,1.0,0.0,0.0
418075935,1.0,0.0,0.0,0.0,0.0
4477-1173283.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
4511-1171916.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
4511-1172967.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
4511-1174604.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
45136,0.0,0.0,0.0,1.0,0.0
4520-1175780.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
4538-1174827.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
51338,0.0,1.0,0.0,0.0,0.0
58e2855996a2745a.google.site-not-provided,0.0,1.0,0.0,0.0,0.0
5f5242e748a3294e.google.site-not-provided,1.0,0.0,0.0,0.0,0.0
5newsonline.com,1.0,0.0,0.0,0.0,0.0
64145.improvedigital.site-not-provided,0.0,1.0,0.0,0.0,0.0
6623-219460.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
6623-241021.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
67-72chevytrucks.com,1.0,0.0,0.0,0.0,0.0
67321.pubmatic.site-not-provided,0.0,0.0,1.0,0.0,0.0
67ebe6d2e55f3bff.google.site-not-provided,0.0,0.0,1.0,0.0,0.0
69176.pubmatic.site-not-provided,0.0,0.0,1.0,0.0,0.0
6abc.com,0.0,0.0,0.5,0.5,0.0
6gid.com,0.0,0.666666666667,0.0,0.333333333333,0.0
6pm.com,0.0,1.0,0.0,0.0,0.0
70mack.co,0.0,0.0,0.0,1.0,0.0
7105.google.site-not-provided,0.0,1.0,0.0,0.0,0.0
74141.pubmatic.site-not-provided,0.0,0.0,1.0,0.0,0.0
74711.pubmatic.site-not-provided,0.5,0.5,0.0,0.0,0.0
7a51742003407389.google.site-not-provided,0.0,0.0,0.0,0.0,1.0
800whistleblower.com,0.0,0.0,1.0,0.0,0.0
83087.pubmatic.site-not-provided,0.0,0.0,0.0,1.0,0.0
899c04fe8824791b.google.site-not-provided,0.0,1.0,0.0,0.0,0.0
89b9b71d461b1d94.google.site-not-provided,0.0,0.4,0.4,0.2,0.0
8befd0f4670e6496.google.site-not-provided,0.0,0.0,0.0,1.0,0.0
8f542ad9bd12af31.google.site-not-provided,0.0,0.0,1.0,0.0,0.0
8tracks.com,0.333333333333,0.0,0.666666666667,0.0,0.0
9423-218605.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-218610.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-220110.aoladtech.site-not-provided,0.0,0.0,0.0,1.0,0.0
9423-220344.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-220573.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-221674.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9423-221821.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-222890.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-226814.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-228592.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-230346.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-234451.aoladtech.site-not-provided,0.0,0.0,0.0,1.0,0.0
9423-235298.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
9423-235542.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9423-235557.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-237689.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9423-237806.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9423-239225.aoladtech.site-not-provided,0.0,0.0,0.0,1.0,0.0
9423-239298.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-239302.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-239308.aoladtech.site-not-provided,0.5,0.0,0.5,0.0,0.0
9423-241491.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
9423-241797.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9423-241916.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9436-229919.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9436-242078.aoladtech.site-not-provided,0.0,0.0,0.0,1.0,0.0
9438-200345.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9444-196717.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9446-200170.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9446-211785.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9449-197159.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
9475-199702.aoladtech.site-not-provided,0.0,0.0,0.0,1.0,0.0
9509-207536.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9519-234702.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9546-209087.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
9550-209709.aoladtech.site-not-provided,0.0,0.0,0.0,1.0,0.0
