TAG_CODE,CAPTURE_CODE,MARCH_FLAG,APR_FLAG,MAY_FLAG,JUNE_FLAG,JULY_FLAG,AUGUST_FLAG,SEP_FLAG,SOCKEYE_FLAG,HATCHERY_REARED,SS_FLAG,LENGTH_MM
3DD.003C09978A,1,0,0,0,0,0,0,1,1,1,1,102
3DD.003C099940,1,0,0,0,0,0,0,1,1,1,1,97
3DD.003C099A9D,1,0,0,0,0,0,0,1,1,1,1,101
3DD.003C099525,1,0,0,0,0,0,0,1,1,1,1,99
3DD.003C099531,1,0,0,0,0,0,0,1,1,1,1,87
3DD.003C099961,1,0,0,0,0,0,0,1,1,1,1,100
3DD.003C099B34,1,0,0,0,0,0,0,1,1,1,1,86
3DD.003C099B9B,1,0,0,0,0,0,0,1,1,1,1,84
3DD.003C099D76,1,0,0,0,0,0,0,1,1,1,1,104
3DD.003C09A925,1,0,0,0,0,0,0,1,1,1,1,91
3DD.003C09AB58,1,0,0,0,0,0,0,1,1,1,1,99
3DD.003C09A947,1,0,0,0,0,0,0,1,1,1,1,90
3DD.003C099BC6,1,0,0,0,0,0,0,1,1,1,1,90
3DD.003C099EAB,1,0,0,0,0,0,0,1,1,1,1,89
3DD.003C09A58E,1,0,0,0,0,0,0,1,1,1,1,87
3DD.003C09A98A,1,0,0,0,0,0,0,1,1,1,1,90
3DD.003C09AA93,1,0,0,0,0,0,0,1,1,1,1,102
3DD.003D423F8C,1,0,0,0,0,0,0,1,1,1,1,92
3DD.003D424079,1,0,0,0,0,0,0,1,1,1,1,92
3DD.003D42436C,1,0,0,0,0,0,0,1,1,1,1,90
3DD.003D424C07,1,0,0,0,0,0,0,1,1,1,1,91
3DD.003D42527E,1,0,0,0,0,0,0,1,1,1,1,90
3DD.003D425867,1,0,0,0,0,0,0,1,1,1,1,83
3DD.003D424D3A,1,0,0,0,0,0,0,1,1,1,1,93
3DD.003D42534F,1,0,0,0,0,0,0,1,1,1,1,97
3DD.003D47F1C1,1,0,0,1,0,0,0,0,1,1,0,149
3DD.003D425569,0,0,0,0,0,0,0,1,1,1,1,85
3DD.003C09A92C,1,0,0,0,0,0,0,1,1,1,1,94
3DD.003C099CFC,1,0,0,0,0,0,0,1,1,1,1,88
3DD.003C09A051,1,0,0,0,0,0,0,1,1,1,1,90
3DD.003D42441A,1,0,0,0,0,0,0,1,1,1,1,102
3DD.003C09A720,1,0,0,0,0,0,0,1,1,1,1,92
3DD.003C099D65,1,0,0,0,0,0,0,1,1,1,1,99
3DD.003C09AB4D,1,0,0,0,0,0,0,1,1,1,1,90
3DD.003D423E1C,1,0,0,0,0,0,0,1,1,1,1,100
3DD.003D423F8B,1,0,0,0,0,0,0,1,1,1,1,96
3DD.003D4242B9,0,0,0,0,0,0,0,1,1,1,1,124
3DD.003D42485E,1,0,0,0,0,0,0,1,1,1,1,100
