,﻿TDID,FavGenre,G1,G2,G3,G4,G5,Browser_Alt Browser,Browser_Chrome,Browser_IE,Browser_Safari,Browser_Unidentified,genre,prediction
1,02855358-358c-4ad3-ad87-158ebfbd70b3,BlindedGenre2,0.1875,0.729166666667,0.0416666666667,0.0416666666667,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
6,03c6a882-1995-467f-aec8-bdf0ece02519,BlindedGenre1,0.508928571429,0.0818452380952,0.275297619048,0.119047619048,0.014880952381,0.0,0.0,1.0,0.0,0.0,1.0,1.0
8,0521db14-ced6-46b6-8f07-d23836bcc62c,BlindedGenre2,0.114666666667,0.702666666667,0.124,0.0386666666667,0.02,0.0,0.0,0.0,1.0,0.0,2.0,2.0
9,0548eda7-5fb9-43f6-9c6c-fc6e68a594fa,BlindedGenre2,0.047619047619,0.604761904762,0.133333333333,0.214285714286,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
10,058b8f3d-be40-49fe-bfd8-f95bb874daf2,BlindedGenre3,0.305415499533,0.110737628385,0.495611577965,0.0873015873016,0.00093370681606,0.0,0.0,1.0,0.0,0.0,3.0,3.0
12,05baa2ab-c99f-43fb-aff7-c0648ae519db,BlindedGenre3,0.293609022556,0.174436090226,0.427067669173,0.0689223057644,0.0359649122807,0.0,0.0,1.0,0.0,0.0,3.0,3.0
13,05bd3318-d46e-4b57-8a49-307b7119c01e,BlindedGenre1,0.847264367816,0.0389885057471,0.0736551724138,0.0307586206897,0.00933333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0
14,066483d5-6d70-450a-86fd-970db179ae6c,BlindedGenre2,0.254769921437,0.565656565657,0.147025813692,0.026936026936,0.00561167227834,0.0,1.0,0.0,0.0,0.0,2.0,2.0
16,07a8115c-0f11-4fff-9276-59d898932535,BlindedGenre4,0.222908093278,0.172839506173,0.17146776406,0.304526748971,0.128257887517,0.0,0.0,1.0,0.0,0.0,4.0,4.0
19,080e6894-be3d-4c4e-b385-9da94130330b,BlindedGenre4,0.330818612177,0.210486297694,0.198692648769,0.23712790373,0.0228745376301,0.0,1.0,0.0,0.0,0.0,4.0,4.0
20,0aba77a9-08e9-475f-919a-ddf6a9360113,BlindedGenre2,0.0816326530612,0.836734693878,0.0816326530612,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
23,0bbf7488-f014-4a22-99ef-b7769b2e221f,BlindedGenre1,0.436997306882,0.171945772794,0.214867996228,0.130882141013,0.0453067830831,0.0,0.0,1.0,0.0,0.0,1.0,1.0
27,0d144449-2d3e-4bff-bfb0-96430cf506bc,BlindedGenre1,0.432533333333,0.0645333333333,0.4208,0.0616,0.0205333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0
31,018c0369-f5e3-4251-86ea-c9005a360ce8,BlindedGenre5,0.191787548438,0.100809725471,0.167925320452,0.0770312449657,0.462446160673,0.0,1.0,0.0,0.0,0.0,5.0,5.0
32,0195923b-ef05-4385-8d7b-e8d27dde7642,BlindedGenre5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0
36,02b1af36-469a-4c8b-bee7-e4483ab50f96,BlindedGenre3,0.0157407407407,0.00833333333333,0.902777777778,0.0731481481481,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0
37,02eac86c-d14d-4d42-bc2f-cde7ac6578bd,BlindedGenre4,0.286527560007,0.128982064959,0.284756225215,0.264168507106,0.0355656427124,1.0,0.0,0.0,0.0,0.0,4.0,4.0
38,035217dd-6b42-47ec-8a11-30e51f66469e,BlindedGenre1,0.375,0.25,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
39,03742ed7-db40-4b3a-8e8b-434bb9f7eb9a,BlindedGenre1,0.436122211122,0.160021645022,0.238075258075,0.0761538461538,0.089627039627,0.0,1.0,0.0,0.0,0.0,1.0,1.0
40,03e38545-6fff-4b32-8507-3db8545e3a42,BlindedGenre5,0.324324324324,0.203497615262,0.273449920509,0.108108108108,0.0906200317965,0.0,1.0,0.0,0.0,0.0,5.0,5.0
43,065000ed-0a4a-4b86-9c4c-21065aff5c3a,BlindedGenre3,0.294385669577,0.225817069499,0.408141041433,0.0614325860637,0.0102236334273,0.0,0.0,1.0,0.0,0.0,3.0,3.0
